"iso3","year","AGE","N","ARI","ARI_lo","ARI_hi"
"PHL",1997,"5-9(7.5)",438.45,2.3,NA,NA
"KEN",1995,"6-14(9)",7556,1.1,NA,NA
"TZA",1985,"(10.4)",34427,1.2,NA,NA
"TZA",1990,"(10.2)",29696,1,NA,NA
"TZA",1995,"(11.3)",20592,0.9,NA,NA
"TZA",2000,"",NA,0.68,0.55,0.81
"KHM",2002,"",NA,2.06,1.77,2.4
"KHM",1995,"5-9(8)",1224,1,NA,NA
"MDG",1993,"6-10(8)",1544,1.29,0.97,1.59
"MWI",1994,"6-11(9.6)",8076,1.4,NA,NA
"EGY",1996,"6-7(6.7)",14766,0.32,NA,NA
"LAO",1997,"(8.4)",4035,1.1,NA,NA
"IND",2002,"1-9(4)",83746,1.5,NA,NA
"IND",2010,"1-9(4)",18400,1,NA,NA
"KOR",1990,"5-9(7.5)",1210,1.1,NA,NA
"KOR",1995,"5-9(7.5)",857,0.5,NA,NA
"ETH",1989,"6-10(8)",23695,1.4,NA,NA
"GRC",1986,"18-28(21)",544210,NA,NA,NA
"KEN",1988,"6-13(8.5)",14984,0.6,NA,NA
"KEN",2006,"6-14(9.6)",76676,1.1,NA,NA
"TWN",1997,"",15147,0.44,NA,NA
"TZA",2002,"6-14(9.5)",10239,0.68,NA,NA
"BGD",1965,"5-9(7.5)",NA,0.56,0.48,0.64
"BGD",2008,"5-9(7)",9357,1.5,NA,NA
"BGD",2008,"10-14(12)",8228,1.7,NA,NA
"DJI",2001,"6-10",1747,3.64,NA,NA
"DJI",1994,"6-10",1505,2.52,NA,NA
"AFG",2006,"",11413,0.8,NA,NA
"SOM",2006,"",5596.56,2.2,1.5,3.2
"NPL",2006,"4-10(9)",17260,0.86,0.49,1.23
"YEM",2007,"7-12(10)",28499,0.05,NA,NA
"GHA",2005,"6-10(9)",21861,NA,0,0.6
"VNM",2006,"6-14(10)",21487,1.7,1.5,1.8
"BTN",2009,"6-8(7)",6078,0.5,0.4,0.7
"GMB",2011,"6-11(9)",13386,0.75,0.6,0.91
"CAF",2011,"6-12(10)",2710,1.9,1.7,2.2
"CAF",2011,"6-12(10)",2710,0.8,0.7,0.9
